Profile Name,Date,Data,Star
MyGeek,"1 month ago | Jul 20, 2024 12:46 PM",Bright clear picture and sound.  The Goole voice search is a useful and easy to use feature.   All in all a great purchaase.,Rated 5 out of 5 stars
Atstorm,"1 month ago | Jul 20, 2024 10:25 AM","This TV is a fantastic midrange option. The conpatibility out of the box with the PS5 and its higher end features has made gaming a nearly transformative experience compared to what we used to have. The only downside is the TV speaker being quite tinny, I would highly recommend getting a soundbar or surround sound setup to augment the stellar picture quality.",Rated 5 out of 5 stars
Nelson,"1 month ago | Jul 19, 2024 11:38 PM",My Sony tv is amazing I picture crystal clear very satisfied and the and the Geek Shias did an amazing job putting it on the wall And Eric from Geek squad did a out standing job hiding my cable wires so professionally well done,Rated 5 out of 5 stars
Salva,"1 month ago | Jul 19, 2024 10:17 PM","Awesome TV, no complaints at all. exactly what h wanted",Rated 5 out of 5 stars
RobertP,"1 month ago | Jul 19, 2024 7:53 PM",I love this TV.  Just one problem.  The remote is not lighted and far too complicated.   For me it is almost unworkable.  I tried to get a replacement buy downloading an app. there are a few out there that claim to be Sony.  How can I trust them.,Rated 4 out of 5 stars
JanetP,"1 month ago | Jul 19, 2024 4:02 PM","A beautiful TV with amazing qualities.
Although broadcast and typical subscription sites do not broadcast UHD, when UHD is available, the picture is amazing. Love it.",Rated 5 out of 5 stars
Tomi,"1 month ago | Jul 19, 2024 11:40 AM",We love our new television. The picture quality is amazing. The integration with streaming applications and seamless navigation are fantastic features.,Rated 5 out of 5 stars
CelerinoB,"1 month ago | Jul 19, 2024 8:27 AM","What I needed is in this TV - Thin 120Hz, 4 HDMI port (2X 2.1) and PS5 dedicated option. A huge upgrade from my 2016 Bravia. Plus better speaker and thin bezel.",Rated 5 out of 5 stars
LVMK,"1 month ago | Jul 17, 2024 9:45 PM","Great TV for the price. I got it on sale for $1099. I got this for my master bedroom, but I didn’t want to spend a lot of money for a bedroom. So I went with this one. It exceeded my expectations by a lot. Way better picture and brighter than I thought it would be. Now I want to get a 83” for my living room.",Rated 5 out of 5 stars
MateoA,"1 month ago | Jul 17, 2024 2:30 PM","Clear picture, great sound, user-friendly interface, love it!",Rated 5 out of 5 stars
DwightM,"1 month ago | Jul 16, 2024 4:32 PM",The picture quality is great especially if you happen to have anything available in actual 4K to watch. This is my first time with the Google tv setup and i find the menus not as easy to navigate as with my Roku menus and also Roku offers many more free options for streaming.  So far I'm very pleased with my first time Sony tv purchase.,Rated 4 out of 5 stars
Rijas,"1 month ago | Jul 15, 2024 7:58 PM",I have purchased this TV during last Black Friday. And so it gives very good performance.,Rated 5 out of 5 stars
WCChn,"1 month ago | Jul 13, 2024 11:31 PM",Awesome picture quality that come right out of the box. No tuning necessary.,Rated 5 out of 5 stars
EdmundoB,"1 month ago | Jul 13, 2024 3:48 PM","I love shopping at best buy, the prices and service are great",Rated 5 out of 5 stars
KUATOCOBRETTI,"1 month ago | Jul 13, 2024 8:00 AM","The X90L is an incredibly well-reviewed LED TV - and for good reason. The picture quality is excellent, the color accuracy is also great, and the black levels are impressive for a mid-tier non-OLED TV. Just make sure to pick your picture settings wisely. Will I elaborate? No. But there's more than enough info out there to guide you.",Rated 5 out of 5 stars
MikeR,"1 month ago | Jul 13, 2024 7:10 AM",Great picture clarity with excellent color!  Smart TV feature offers many options for viewing favorite channels.,Rated 5 out of 5 stars
CalvinS,"1 month ago | Jul 12, 2024 2:08 PM","Instller was fantastic.  It took a while to figure out how to use the remote to get where we wished to be, but the picture and sound quality are very good.",Rated 5 out of 5 stars
Marc,"1 month ago | Jul 12, 2024 1:40 PM","Excellent picture on this Bravia TV. Very bright, I actually turn down brightness to 35 (max of 50) in a room that gets sunlight. Nice colors. Feet can raise TV if you have a thin soundbar, but it isn't enough for a real center channel speaker as part of a full surround system. The built-in speakers are better than expected (of course can't compare to a real surround system).

I have to knock off a star for two reasons: the home screen has ads you CANNOT remove. Inexcusable on a $1,500 TV. And the HDMI control misbehaves badly: for several minutes after the TV is TURNED OFF, it randomly turns my Onkyo receiver on and off, and mutes it. When I turn the TV off, it will also turn off the receiver and my blu-ray player. These cannot be disabled in the TV settings! I have to disable HDMI control in my AVR itself to block it.",Rated 4 out of 5 stars
FreddieL,"1 month ago | Jul 12, 2024 10:52 AM","I am very satisfied with the TV. I had done some research trying to figure out what I should upgrade to coming from a 2016 mid range model. This Sony tech is INCREDIBLE. Started watching the Copa America soccer tournament, it's sharp as hell! The Reality Creation is amazing at making things look 4k! And probably my most favorite thing is that the Sony is appreciably brighter ( my  living room has 6 windows, so a lot of natural sunlight ) and I have no problem watching anything on it. If you're not totally sold on OLED, and want something colorful, sharp and bright, this is a solid option.",Rated 5 out of 5 stars
RobertS,"1 month ago | Jul 12, 2024 10:50 AM","The television and soundbar both are very nice and work well. I feel that the television that we came in to buy was disparaged by the salesperson without us really having the opportunity to check it out, and we were upsold to the set that we purchased. We are happy with our purchase, yet I feel that disparaging a brand is not good sales practice.",Rated 4 out of 5 stars
Ruslan,"1 month ago | Jul 10, 2024 2:35 PM","Excellent TV - Sony 65” Class BRAVIA XR X90L LED 4K UHD Smart Google TV

I am very pleased with the purchase of this TV. The colors are incredibly vibrant and rich, creating an amazing visual experience. The brightness is top-notch, allowing you to enjoy high-quality images even in daylight.

The functionality of the TV is also excellent – Smart Google TV offers a wealth of possibilities for using various apps and services. The interface is user-friendly and intuitive, making the device very comfortable to use.

I recommend this TV to anyone looking for a combination of high-quality picture and modern features.",Rated 5 out of 5 stars
BethR,"1 month ago | Jul 9, 2024 5:59 PM",i really enjoy this TV looking so cool and more good,Rated 5 out of 5 stars
DENNIS,"2 months ago | Jul 8, 2024 8:22 PM",VERY NICE TV HAVE TO LEARN THE NEW MENU FEATURES MANUAL SUCKS FOR ANY KIND OF HELP.,Rated 4 out of 5 stars
Jamiethecat,"2 months ago | Jul 8, 2024 11:38 AM",Has a great picture and sound. It was a very easy set up with very clear instructions and no missing parts!,Rated 5 out of 5 stars
Raybr,"2 months ago | Jul 7, 2024 12:02 AM",It was very easy to setup and the picture quality out of the box is very good i did very little adjustment to it.,Rated 5 out of 5 stars
Dave,"2 months ago | Jul 6, 2024 8:41 AM","This Sony TVs generally offer better picture quality due to their superior OLED technology,",Rated 5 out of 5 stars
Lovemymika,"2 months ago | Jul 5, 2024 7:40 PM",Love the tv and the guys who installed it were great!!!,Rated 5 out of 5 stars
JeffreyH,"2 months ago | Jul 5, 2024 6:35 PM","Went into the local best buy to purchase this tv. The salesman was pushing another type of TV I didn't want and told me the only one they had in stock was sold. I went back home and ordered this one online. I was able to pick it up a hour later at the same store. The tv is great. I highly recommend Sony tvs. But, order online and pick up avoid the sale associates whenever possible.",Rated 4 out of 5 stars
ThomasM,"2 months ago | Jul 5, 2024 4:26 PM","Old 65"" Sony only lasted 8 years. New one same size was 2/3 price. Picture is much clearer",Rated 5 out of 5 stars
2007,"2 months ago | Jul 5, 2024 4:05 PM","Replaced this due to software issues on a 7 series samsung. Couldn't get disney Plus, and netflix would crash. Solid tv. Good picture. Easy access to apps and screen casting. Have had it for a few weeks. But seems decent. Was told the picture quality would be better than the samsung i replaced it with. But it seems comparible.",Rated 5 out of 5 stars
